	0.333333333333
putative two-component system response regulator	0.5
ADP-ribose pyrophosphatase (EC 3.6.1.13)	1.0
Cell division protein MraZ	1.0
FIG006762: Phosphoglycerate mutase family	0.5
3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC	0.166666666667
Hypothetical protein with Rieske (2Fe-2S) region	0.166666666667
AhpC/Tsa family protein, selenocysteine-containing	1.0
Peroxide stress regulator PerR, FUR family	0.166666666667
Oligogalacturonate lyase (EC 4.2.2.6)	0.5
NADPH:quinone oxidoreductase 2	0.666666666667
unknown protein	0.5
Formate hydrogenlyase transcriptional activator	0.5
Malonate decarboxylase alpha subunit	0.166666666667
putative acyl carrier protein	0.333333333333
response regulator receiver sensor signal transduction histidine kinase	0.166666666667
Acid phosphatase	0.833333333333
Pca regulon regulatory protein PcaR	0.666666666667
Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)	0.333333333333
Uncharacterized iron-regulated membrane protein; Iron-uptake factor PiuB	1.0
Type II secretory pathway, component PulF / Type IV fimbrial assembly protein PilC	1.0
DNA-binding response regulator KdpE	1.0
putative esterase	0.5
Recombination inhibitory protein MutS2	1.0
FIG00484371: hypothetical protein	0.5
tRNA-Gly-CCC	1.0
Believed to be involved in assembly of Fe-S clusters	1.0
Flagellar hook protein FlgE	0.833333333333
IncF plasmid conjugative transfer protein TraD	0.833333333333
Acyl dehydratase, MaoC-like domain (EC 2.3.1.8)	0.333333333333
LSU ribosomal protein L13p (L13Ae)	1.0
NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	0.166666666667
ROK family protein	0.833333333333
tRNA-Thr-GGT	1.0
PAS/PAC sensor signal transduction histidine kinase	0.666666666667
Sensor histidine kinase	0.833333333333
tRNA-Tyr-GTA	1.0
putative L-fucose isomerase	0.166666666667
Iron-sulfur cluster assembly protein SufB	0.166666666667
major facilitator family transporter	0.166666666667
Cupin 2, conserved barrel	0.166666666667
Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	1.0
Uncharacterized protein y4hR	0.166666666667
molybdate ABC transporter, ATPase subunit	0.333333333333
Nodulation protein noeA	0.166666666667
Regulatory protein, ArsR	0.166666666667
Aldehyde dehydrogenase (EC 1.2.1.3)	0.833333333333
COG0642: Signal transduction histidine kinase	0.5
putative PAS/PAC sensor protein	1.0
Amidohydrolase family enzyme	0.333333333333
Ribosomal subunit interface protein	0.166666666667
FOG: HEAT repeat	0.166666666667
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-) ## LSU rRNA Gm2251	0.166666666667
Site-specific recombinase	0.5
FIG00346639: hypothetical protein	0.666666666667
INTEGRAL MEMBRANE PROTEIN (Rhomboid family)	0.333333333333
LSU ribosomal protein L33p	0.833333333333
Flagellar hook-associated protein FlgL	0.666666666667
Repressor CsoR of the copZA operon	0.166666666667
Flagellar hook-associated protein FlgK	0.833333333333
Manganese catalase (EC 1.11.1.6)	0.166666666667
4-hydroxyproline epimerase (EC 5.1.1.8)	0.833333333333
ABC transporter related( EC:3.6.3.25 )	0.333333333333
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	1.0
Carotenoid cis-trans isomerase (EC 5.2.-.-)	0.166666666667
Endonuclease	0.333333333333
Glutamate racemase (EC 5.1.1.3)	0.833333333333
FIG00346625: hypothetical protein	1.0
transcriptional regulator, IclR family	0.166666666667
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	1.0
Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	1.0
probable O-linked GlcNAc transferase-putative TPR-containing transmembrane protein	0.166666666667
protein of unknown function DUF419	0.5
TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA	0.166666666667
Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	1.0
Capsular polysaccharide biosynthesis/export periplasmic protein WcbA; Capsular polysaccharide export system protein KpsC	0.166666666667
integral membrane protein-like protein	0.333333333333
Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	1.0
Autolysis response regulater LytR	0.333333333333
tRNA-Ile-GAT	1.0
Putative HlyD family secretion protein	0.166666666667
Xylose isomerase domain protein TIM barrel	0.833333333333
4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) / 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	0.833333333333
Endoglucanase precursor (EC 3.2.1.4)	1.0
Alpha-amylase/alpha-mannosidase	1.0
Truncated hemoglobins	0.333333333333
COG1172: Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components	0.333333333333
Periplasmic divalent cation tolerance protein CutA	0.333333333333
Protein of unknown function DUF72	0.166666666667
Sialic acid-specific 9-O-acetylesterase	1.0
Glycosyltransferase involved in cell wall biogenesis (EC 2.4.-.- )	0.166666666667
putative carboxylesterase	0.333333333333
Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	0.166666666667
Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	0.5
FIG01093541: hypothetical protein	0.166666666667
Glycogen phosphorylase (EC 2.4.1.1)	1.0
Cystathionine gamma-synthase (EC 2.5.1.48)	0.666666666667
LSU ribosomal protein L14p (L23e)	1.0
Alpha-amylase (EC 3.2.1.1)	1.0
HYPOTHETICAL/UNKNOWN PROTEIN	0.166666666667
4'-phosphopantetheinyl transferase entD (EC 2.7.8.-)	0.166666666667
FG-GAP repeat protein	0.333333333333
putative stress-induced protein OsmC	0.5
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	0.666666666667
Rhamnulokinase (EC 2.7.1.5)	1.0
3-OXOACYL-(ACYL-CARRIER PROTEIN) REDUCTASE (EC 1.1.1.100)	0.333333333333
NADH dehydrogenase	0.166666666667
Macrolide glycosyltransferase (EC 2.4.1.-)	0.166666666667
PpiC-type peptidyl-prolyl cis-trans isomerase	0.666666666667
Domain often clustered or fused with uracil-DNA glycosylase / Uracil-DNA glycosylase, putative family 6	0.333333333333
Regulatory protein recX	0.166666666667
Beta-phosphoglucomutase (EC 5.4.2.6)	0.166666666667
Nucleoside diphosphate kinase (EC 2.7.4.6)	1.0
Amino acid permease	1.0
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	1.0
Beta-propeller domains of methanol dehydrogenase type	0.833333333333
Gb|AAF35419.1	0.333333333333
histone family protein DNA-binding protein	0.333333333333
TonB-dependent receptor, putative	0.5
Osmotically inducible protein Y precursor	0.333333333333
Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain	0.666666666667
Fatty acid desaturase (EC 1.14.19.1); Delta-9 fatty acid desaturase (EC 1.14.19.1)	1.0
Glucosamine-6-phosphate deaminase [isomerizing], alternative (EC 3.5.99.6)	0.333333333333
CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	0.166666666667
Arsenical-resistance protein ACR3	0.666666666667
RelA/SpoT domain protein	0.166666666667
Ribonuclease PH (EC 2.7.7.56)	1.0
putative sugar acetyltransferase	0.166666666667
ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	0.666666666667
Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	1.0
LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent	0.166666666667
Macrocin O-methyltransferase (EC 2.1.1.101)	0.166666666667
Aconitate hydratase (EC 4.2.1.3)	1.0
Ketosteroid isomerase-like protein	0.166666666667
Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)	0.166666666667
export protein FliQ, family 3	0.333333333333
probable DNA alkylation repair enzyme	0.166666666667
Tyrosine-protein kinase Wzc (EC 2.7.10.2)	1.0
Colicin I receptor precursor	0.833333333333
LmbE-like protein	1.0
TPR repeat precursor	0.166666666667
Peroxiredoxin	0.333333333333
Tartrate-resistant acid phosphatase type 5 precursor (EC 3.1.3.2)	0.333333333333
hydrolase, alpha/beta hydrolase fold family, putative	0.166666666667
acyltransferase family protein	0.666666666667
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	1.0
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	1.0
FIG00350097: hypothetical protein	0.166666666667
B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)	0.333333333333
Phosphate starvation-inducible protein PhoH, predicted ATPase	1.0
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	1.0
Replicative DNA helicase (EC 3.6.1.-)	1.0
putative acetyltransferase	0.833333333333
D-amino-acid oxidase (EC 1.4.3.3)	0.833333333333
L-rhamnose-proton symporter	1.0
Triphosphoribosyl-dephospho-CoA synthetase (EC 2.7.8.25)	0.166666666667
Protein of unknown function DUF820	0.166666666667
FIG00714970: hypothetical protein	0.166666666667
Membrane-associated protein containing RNA-binding TRAM domain and ribonuclease PIN-domain, YacL B.subtilis ortholog	0.166666666667
glycine-rich protein	0.333333333333
Putative stomatin/prohibitin-family membrane protease subunit aq_911	0.833333333333
Octaprenyl diphosphate synthase (EC 2.5.1.90)	0.166666666667
Alcohol dehydrogenase GroES domain protein	0.333333333333
SSU ribosomal protein S5p (S2e)	1.0
Two component transcriptional regulator VraR	0.166666666667
acetyltransferase, GNAT family	1.0
Sodium:solute symporter family protein	0.166666666667
Peptidase M18, aminopeptidase I	0.333333333333
Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	0.333333333333
DipZ protein	0.666666666667
Gll1135 protein	0.333333333333
Transglutaminase-like domain	0.5
Protein-tyrosine kinase( EC:2.7.1.112 )	0.166666666667
2-dehydropantoate 2-reductase (EC 1.1.1.169)	0.666666666667
UDP-galactopyranose mutase (EC 5.4.99.9)	0.666666666667
surface presentation of antigens (SPOA) protein	0.333333333333
Peptidyl-prolyl cis-trans isomerase ppiB (EC 5.2.1.8)	0.166666666667
Putative transcriptional regulator	0.166666666667
Exoenzymes regulatory protein AepA in lipid-linked oligosaccharide synthesis cluster	0.5
HigB toxin protein	0.666666666667
ABC-type antimicrobial peptide transport system, permease component	0.5
Uncharacterized conserved membrane protein, SANA family	0.333333333333
metallophosphoesterase	0.666666666667
Molybdopterin binding motif, CinA N-terminal domain / C-terminal domain of CinA type S	0.333333333333
NAD-dependent epimerase/dehydratase	0.166666666667
(AJ250023) putative polyketide synthase	0.333333333333
phospholipase/carboxylesterase	0.333333333333
Response regulator receiver	0.166666666667
Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids	0.5
alternate gene name: yukI	0.166666666667
Glutathione peroxidase (EC 1.11.1.9)	0.666666666667
Ribonuclease III (EC 3.1.26.3)	1.0
chitosanase-glucanase	0.166666666667
FIG01084722: hypothetical protein	1.0
Hydrolase, alpha/beta fold family protein, At1g52510/AT4G12830 homolog, group3	0.333333333333
Carboxypeptidase-related protein	0.666666666667
PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase	0.833333333333
sensor histidine kinase	0.833333333333
Peptidyl-tRNA hydrolase (EC 3.1.1.29)	1.0
INTEGRAL MEMBRANE PROTEIN-Small-conductance mechanosensitive channel	0.166666666667
Glutamine synthetase type I (EC 6.3.1.2)	1.0
FIG00998774: hypothetical protein	0.166666666667
NADPH-dependent methylglyoxal reductase (D-lactaldehyde dehydrogenase)	0.166666666667
Iron binding protein IscA for iron-sulfur cluster assembly	1.0
YD repeat-containing protein	0.166666666667
putative transport protein (MFS family)	0.666666666667
Uroporphyrinogen-III methyltransferase (EC 2.1.1.107) / Uroporphyrinogen-III synthase (EC 4.2.1.75)	1.0
AMP nucleosidase (EC 3.2.2.4)	0.333333333333
Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases	0.166666666667
Metallophosphoesterase	0.333333333333
EAL domain protein	0.166666666667
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1.0
flagellar FlbD family protein	0.333333333333
Gll1201 protein	0.166666666667
tRNA-Thr-CGT	1.0
conserved repeat domain	0.166666666667
adenylate cyclase	1.0
Malate synthase (EC 2.3.3.9)	0.166666666667
Peptidyl-prolyl cis-trans isomerase PpiD (EC 5.2.1.8)	0.166666666667
GtrA-like protein	0.166666666667
peptidase M23B	0.166666666667
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	1.0
Beta-xylosidase (EC 3.2.1.37)	1.0
Uridine kinase (EC 2.7.1.48) [C1]	0.5
Putative transmembrane acyltransferase	0.166666666667
Xylose isomerase (EC 5.3.1.5)	0.5
Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	0.333333333333
FIG01075203: hypothetical protein	0.166666666667
Gas vesicle synthesis GvpLGvpF	1.0
Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	1.0
Alkaline phosphatase like protein	0.166666666667
FIG00895352: hypothetical protein	0.166666666667
RNA-binding protein Hfq	1.0
Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	1.0
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	1.0
FIG01069112: hypothetical protein	0.166666666667
Uncharacterized protein conserved in bacteria	0.833333333333
Malonate decarboxylase beta subunit	0.166666666667
uncharacterized protein with a C-terminal OMP (outer membrane protein) domain	0.333333333333
Transcriptional regulator, ArsR family	1.0
Protein yceI precursor	0.5
Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR	1.0
CRISPR-associated RAMP Cmr4	0.166666666667
Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)	1.0
CRISPR-associated RAMP Cmr1	0.166666666667
Thioredoxin	1.0
Argininosuccinate lyase (EC 4.3.2.1)	1.0
Quinolinate synthetase (EC 2.5.1.72)	1.0
peptidase M50	0.333333333333
Dipeptidyl aminopeptidases/acylaminoacyl-peptidases	0.333333333333
Choline-sulfatase (EC 3.1.6.6)	0.666666666667
tRNA dihydrouridine synthase B (EC 1.-.-.-)	1.0
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	1.0
Thiazole biosynthesis protein ThiG	1.0
ATP-dependent DNA helicase UvrD/PcrA	1.0
FIG028220: hypothetical protein co-occurring with HEAT repeat protein	0.166666666667
Amidohydrolase 3	0.5
DNA recombination and repair protein RecO	1.0
N-acetylmannosaminyltransferase (EC 2.4.1.187)	1.0
tRNA-Ser-GGA	1.0
HPr kinase	0.666666666667
Iron-sulfur cluster regulator IscR	1.0
DNA helicase related protein	0.5
4-oxalocrotonate tautomerase	0.166666666667
hypothetical protein SC7H9.05	0.166666666667
response regulator receiver protein	1.0
hydrolase, alpha/beta hydrolase fold family	0.166666666667
Glycosyl transferase, group 2 family protein/polysaccharide deacetylase family protein	0.166666666667
Glycosyl transferase, family 2	1.0
FIG022979: MoxR-like ATPases	0.166666666667
PE_PGRS family protein	0.166666666667
Dihydroorotase (EC 3.5.2.3)	1.0
Carboxymuconolactone decarboxylase	0.333333333333
SSU ribosomal protein S6p	1.0
Excinuclease ABC subunit A	1.0
Cobyrinic acid A,C-diamide synthase	0.5
FIG01210751: hypothetical protein	0.5
Altronate hydrolase (EC 4.2.1.7)	0.166666666667
FIG00493853: hypothetical protein	0.166666666667
putative beta-lactamase	0.166666666667
Probable ATP-dependent helicase lhr (EC 3.6.1.-)	1.0
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	0.166666666667
NAD synthetase (EC 6.3.1.5)	0.166666666667
protein of unknown function DUF710	0.833333333333
PepSY-associated TM helix domain protein	0.166666666667
Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	0.166666666667
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	1.0
beta-lactamase-like protein	1.0
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	0.5
Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	0.166666666667
Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)	0.833333333333
Cobalt-zinc-cadmium resistance protein	1.0
Phage terminase, small subunit	0.333333333333
[NiFe] hydrogenase nickel incorporation-associated protein HypB	0.5
Pyruvate decarboxylase (EC 4.1.1.1); Alpha-keto-acid decarboxylase (EC 4.1.1.-)	0.5
beta-lactamase domain protein	0.833333333333
tannase precursor	0.333333333333
Thiamin biosynthesis lipoprotein ApbE	1.0
Putative stomatin/prohibitin-family membrane protease subunit YbbK	0.666666666667
FMN-dependent NADH-azoreductase	1.0
N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	0.166666666667
acetyltransferase, putative	0.166666666667
LSU ribosomal protein L9p	1.0
Riboflavin kinase (EC 2.7.1.26)	0.666666666667
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	1.0
Uncharacterized protein ImpJ/VasE	0.666666666667
Putative permease	0.333333333333
Lipoprotein releasing system transmembrane protein LolE	1.0
protein of unknown function DUF718	0.166666666667
Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	0.666666666667
Thiosulfate reductase cytochrome B subunit (membrane anchoring protein)	0.5
transglutaminase-like	0.166666666667
Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	0.666666666667
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	1.0
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	0.5
Nickel transporter UreH	0.166666666667
FIG01082631: hypothetical protein	0.333333333333
Predicted exported alpha-N-acetylgalactosaminidase (EC 3.2.1.49)	0.333333333333
FIG00789993: hypothetical protein	0.833333333333
hypothetical	0.5
RND efflux system, outer membrane lipoprotein, NodT family	0.5
uncharacterized enzyme	0.5
CAIB/BAIF family protein	0.5
amino acid transporter	1.0
Isoquinoline 1-oxidoreductase beta subunit (EC 1.3.99.16)	0.166666666667
Copper binding protein, plastocyanin/azurin family	0.166666666667
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	0.333333333333
site-specific recombinase, phage integrase family	0.5
CmpX	0.166666666667
Dimethylmenaquinone methyltransferase	0.666666666667
Hypothetical Rhodanese sulfurtransferase protein	0.166666666667
Thiosulfate reductase cytochrome B subunit (membrane anchoring protein)-like protein	0.333333333333
L-threonine 3-dehydrogenase (EC 1.1.1.103)	1.0
Prolyl oligopeptidase family (Peptidase_S9) (EC 3.4.21.26)	0.166666666667
transcriptional regulator, XRE family	1.0
Putative cytochrome C oxidase polypeptide II oxidoreductase protein	0.166666666667
FIG01055591: hypothetical protein	0.333333333333
Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	1.0
putative transporter	0.166666666667
Methylmalonyl-CoA epimerase (EC 5.1.99.1)	0.666666666667
putative cytochrome P450 hydroxylase	0.5
Alternative cytochrome c oxidase polypeptide CoxO (EC 1.9.3.1)	0.166666666667
Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	1.0
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	1.0
glycosyl transferase, family 2	1.0
Ribonuclease T2 family protein	0.166666666667
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	1.0
Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage	0.166666666667
Iron-sulfur cluster assembly ATPase protein SufC	0.166666666667
regulatory protein RecX	0.833333333333
Metallo-beta-lactamase precursor	0.166666666667
Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	1.0
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	1.0
Signal peptidase I (EC 3.4.21.89)	1.0
UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	0.333333333333
D-xylose proton-symporter XylE	0.166666666667
Substrate-specific component BioY of biotin ECF transporter	0.833333333333
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	1.0
Na+ dependent nucleoside transporter NupC	0.166666666667
tRNA-Pseudo-GAG	0.166666666667
Chemotaxis protein CheX	0.333333333333
ATP phosphoribosyltransferase (EC 2.4.2.17)	1.0
tRNA-Ala-TGC	1.0
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	1.0
Acyltransferase (EC 2.3.1.-)	0.166666666667
Inosose isomerase (EC 5.3.99.-)	0.5
Phage terminase large subunit	0.5
Alpha-N-arabinofuranosidase (EC 3.2.1.55)	1.0
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	1.0
FIG01290012: hypothetical protein	0.5
endopolygalacturonase	0.333333333333
putative DeoR-family transcriptional regulator	0.333333333333
Cytosine deaminase (EC 3.5.4.1)	0.166666666667
Cytochrome c oxidase subunit CcoO (EC 1.9.3.1)	0.166666666667
Aminopeptidase	0.833333333333
SSU ribosomal protein S2p (SAe)	1.0
Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	1.0
two-component response regulator	1.0
HemX protein, negative effector of steady-state concentration of glutamyl-tRNA reductase	1.0
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	0.333333333333
heat shock protein Hsp20	0.166666666667
Dipeptidyl aminopeptidases/acylaminoacyl-peptidases-like	0.166666666667
FIG00500935: hypothetical protein	0.5
Sulfur acceptor protein SufE for iron-sulfur cluster assembly	0.333333333333
spsA-like protein	0.333333333333
phage conserved hypothetical protein, phiE125 gp8	0.333333333333
FOG: TPR repeat	0.5
peptidase M48, Ste24p	1.0
MbtH protein	0.166666666667
Probable NADH-dependent dehydrogenase	0.166666666667
FIG00652940: hypothetical protein	0.166666666667
alternate gene name: yzbB	0.833333333333
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	1.0
Outer membrane lipoprotein Blc	0.166666666667
FIG00685563: hypothetical protein	0.833333333333
Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)	0.833333333333
FIG00453415: hypothetical protein	0.166666666667
Endonuclease (EC 3.1.-.-)	0.5
Nucleoside permease NupC	0.833333333333
Alpha-related fimbriae minor subunit 2	0.166666666667
Nucleoside permease NupG	0.333333333333
tRNA-Pro-CGG	1.0
Putative preQ0 transporter	0.666666666667
Antirestriction protein	0.166666666667
Cellobiose phosphotransferase system YdjC-like protein	1.0
Basic proline-rich protein	0.166666666667
FIG01200701: possible membrane protein	0.166666666667
Predicted transcriptional regulators	0.166666666667
HD-hydrolase domain	0.333333333333
Formate dehydrogenase related protein	0.833333333333
Sensory box histidine kinase	0.333333333333
tRNA dimethylallyltransferase (EC 2.5.1.75)	0.166666666667
tRNA-Glu-TTC	1.0
tRNA-Leu-TAA	0.5
Aquaporin Z	0.333333333333
tRNA-Leu-TAG	1.0
Zn-dependent aminopeptidase	0.333333333333
DNA gyrase subunit B (EC 5.99.1.3)	1.0
Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)	1.0
Succinate dehydrogenase cytochrome b558 subunit	0.666666666667
Excinuclease ABC subunit C	1.0
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	1.0
ATPase, AAA family	1.0
FIG01084360: hypothetical protein	0.5
Transcription antitermination protein NusG	1.0
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	1.0
COG2110, Macro domain, possibly ADP-ribose binding module	0.666666666667
Flagellar sensor histidine kinase FleS	0.166666666667
Transcriptional regulator, AraC family	1.0
membrane bound endonuclease (nuc)	0.166666666667
Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)	0.333333333333
NAD-dependent protein deacetylase of SIR2 family	0.333333333333
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	0.333333333333
Endoglucanase B precursor (EC 3.2.1.4)	0.166666666667
COG2199: FOG: GGDEF domain	0.333333333333
aldose epimerase family	0.166666666667
Iron-sulfur cluster assembly protein SufD	0.166666666667
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	1.0
COG1180: Radical SAM, Pyruvate-formate lyase-activating enzyme like	0.166666666667
FIG007959: peptidase, M16 family	1.0
Bacterial/Archaeal Transporter family protein	0.166666666667
Redoxin domain protein	0.666666666667
Phosphoglycerate mutase	0.333333333333
transcriptional regulator, ArsR family	0.333333333333
peptidase M56, BlaR1	0.166666666667
glycosyltransferase involved in cell wall biogenesis	0.166666666667
site-specific recombinase, phage integrase family, putative	0.333333333333
Kumamolysin	0.833333333333
Glycosyl hydrolase family 98, putative carbohydrate binding module	0.333333333333
putative DNA helicase	0.333333333333
polysaccharide biosynthesis family protein	0.166666666667
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	1.0
Protein of unknown function DUF967	0.333333333333
phospholipid/glycerol acyltransferase	0.333333333333
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	1.0
Diaminopimelate decarboxylase	0.333333333333
FIG00441227: hypothetical protein	0.166666666667
ABC transporter related	0.166666666667
Siderophore biosynthesis non-ribosomal peptide synthetase modules	0.166666666667
Glycogen debranching enzyme (EC 3.2.1.-)	0.833333333333
carbonic anhydrase, family 3	0.833333333333
Zeaxanthin glucosyl transferase	0.666666666667
FIG01318144: Rieske (2Fe-2S) domain-containing protein	0.166666666667
LSU m3Psi1915 methyltransferase RlmH	1.0
